question,answer1,answer2,answer3,answer4,correct_answer,image_url
"Przedstawione formatowanie CSS, przy założeniu, że żadne inne formatowanie nie jest zdefiniowane, sprawi, że",marginesy wewnętrzne wszystkich komórek będą wynosiły 10 px,"margines wewnętrzny komórki z napisem Anna będzie miał 30 px, a z napisem Ewa – 10 px",marginesy wewnętrzne wszystkich komórek będą wynosiły 30 px,"margines wewnętrzny komórki z napisem Anna będzie miał 10 px, a z napisem Ewa – 30 px",3,images/889.jpg
W języku JavaScript podany w ramce fragment funkcji ma za zadanie,wyświetlić wszystkie elementy tablicy,wprowadzić do każdego elementu tablicy aktualną wartość zmiennej i,policzyć sumę wszystkich elementów tablicy,dodać do każdego elementu tablicy stałą wartość,2,images/890.jpg
"W języku SQL, aby wstawić wiersz danych do bazy, należy zastosować polecenie",CREATE INTO,CREATE ROW,INSERT INTO,SELECT ROW,2,
"Wskaż kod CSS odpowiadający układowi bloków 2 - 5, zakładając, że są one zbudowane w oparciu o przedstawiony kod HTML",A,B,C,D,1,images/892.jpg
Rozproszonym systemem kontroli wersji projektu programistycznego jest,GIT,FileZilla,TotalCommander,Eclipse,0,
"Jak zdefiniować w języku CSS takie formatowanie tabeli, żeby wiersz, na którym aktualnie znajduje się kursor myszy, zmieniał kolor tła na szary",tr:active { color: gray; },tr:active { background-color: gray; },tr:hover { background-color: gray; },tr:hover { color: gray; },2,
Formatami Video obsługiwanymi w standardzie HTML5 są,"Ogg, QuickTime","Ogg, AVI, MPEG","MP4, Ogg, WebM","MP4, AVI",2,
Który z typów relacji wymaga utworzenia tabeli pośredniej łączącej klucze główne obu tabel?,1..n,n..m,n..1,1..1,1,
"W kodzie HTML przypisano pewne znaczniki do klasy o nazwie „nomargin”. Aby wykonać za pomocą języka JavaScript operacje na tych znacznikach, można posłużyć się funkcją","getElement(""nomargin"")","getElementById(""nomargin"")","getElementsByTagName(""nomargin"")","getElementsByClassName(""nomargin"")",3,
Kompresja bezstratna pliku graficznego gwarantuje,lepszą jakość,mniejszą liczbę warstw,rozmiar większy niż grafika oryginalna,pierwotną jakość grafiki,3,
Wskaż poprawny składniowo warunek zapisany w języku PHP i sprawdzający brak połączenia z bazą MySQL,if {mysql_connect_errno()}{},if {mysqli_connect_error()}{},if (mysqli_connect_errno()){},if (mysql_connect_error())(),2,
"Tabele Osoby i Zainteresowania są połączone relacją jeden do wielu. Które zapytanie SQL należy zapisać, aby korzystając z tej relacji, prawidłowo wyświetlić imiona oraz odpowiadające im hobby?","SELECT imie, hobby FROM Osoby.Zainteresowania_id = Zainteresowania.id FROM Osoby, Zainteresowania;","SELECT imie, hobby FROM Osoby, Zainteresowania;","SELECT imie, hobby FROM Osoby JOIN Zainteresowania ON Osoby.Zainteresowania_id = Zainteresowania.id;","SELECT imie, hobby FROM Osoby, Zainteresowania WHERE Osoby.id = Zainteresowania.id;",2,images/900.jpg
"W języku HTML, aby wstawić na stronę obraz zapisany w formacie JPG, należy zastosować znacznik",<src>,<img>,<jpg>,<table>,1,
"Za pomocą, którego znacznika można wstawić listę numerowaną (uporządkowaną) w dokumencie HTML?",<li>,<ul>,<ol>,<dl>,2,
"W języku CSS zapis selektora p > i { color: red; } oznacza, że kolorem czerwonym zostanie sformatowany","jedynie ten tekst w znaczniku <i>, który jest umieszczony bezpośrednio wewnątrz znacznika <p>","jedynie ten tekst znacznika <p>, do którego jest przypisana klasa o nazwie i",każdy tekst w znaczniku <p> lub każdy tekst w znaczniku <i>,każdy tekst w znaczniku <p> za wyjątkiem tych w znaczniku <i>,0,
Język PHP posiada obsługę,sesji i ciastek,zdarzeń myszy,zdarzeń klawiatury,obiektów przeglądarki,0,
"Tworząc tabelę w języku SQL zdefiniowano pole, którego wartości nie mogą się powtarzać. Do jego definicji należy zastosować atrybut",IDENTITY,UNIQUE,DEFAULT,NOT NULL,1,
"Aby wskazać błędy składniowe w kodzie HTML, należy zastosować",kompilator,debugger,interpreter,walidator,3,
"Projektując stronę internetową, umieszczono kod definiujący jej styl. Jaką szerokość pozostawiono na treść strony?",600 px,640 px,560 px,2 px,2,images/907.jpg
"Instrukcją pętli, która jest przeznaczona do wykonania określonej liczby operacji na pewnym obiekcie lub zmiennej niebędącej tablicą, jest",foreach,if,switch,for,3,
"Przedstawiona funkcja, zapisana językiem JavaScript, ma za zadanie",umożliwić przejście do wskazanej lokalizacji hosta,"wyświetlić w elemencie o id = ""info"" adres hosta wskazany pierwszym odnośnikiem","wyświetlić na przycisku lokalizację hosta, a po jego wciśnięciu umożliwić przejście do wskazanej lokalizacji","wyświetlić w elemencie o id = ""info"" nazwę hosta, z którego pochodzi wyświetlona strona",3,images/909.jpg
Która cecha grafiki wektorowej jest prawdziwa?,Raz utworzoną nie można edytować,Grafika wektorowa jest niezależna od rozdzielczości,Grafika wektorowa jest nieskalowalna,Nie można przetworzyć ją na grafikę rastrową,1,
W języku PHP operatorem reszty z dzielenia jest:,&,@,%,#,2,
W formularzu HTML zastosowano znacznik <input>. Wyświetlone pole będzie służyło do wprowadzania maksymalnie,"20 znaków, które są widoczne podczas wprowadzania","20 znaków, które nie są widoczne w polu tekstowym","30 znaków, które nie są widoczne w polu tekstowym","30 znaków, które są widoczne podczas wprowadzania",1,images/912.jpg
Wśród czterech podstawowych kolorów modelu barw CMYK jest,brązowy,pomarańczowy,zielony,czarny,3,
Które z poleceń nadaje najniższy poziom uprawnień użytkownikowi uczen pod względem modyfikacji danych i struktury tabel?,"GRANT ALTER, SELECT ON szkola.przedmioty TO uczen;",GRANT SELECT ON szkola.przedmioty TO uczen;,"GRANT INSERT, DROP ON szkola.przedmioty TO uczen;",GRANT DROP ON szkola.przedmioty TO uczen;,1,
"W języku PHP, aby połączyć się z bazą danych MySQL przy pomocy biblioteki mysqli, stosując zamieszczony zapis, w miejscu litery 'c' należy zapisać",nazwę bazy danych,nazwę użytkownika,lokalizację serwera bazy danych,hasło użytkownika,1,images/915.jpg
"Aby w JavaScript wykonać wymienione kroki, należy w znaczniku <script> umieścić kod","A = prompt(""Podaj kwalifikację: ""); document.write(""Kwalifikacja: "".A);","A << prompt(""Podaj kwalifikację: ""); document.write(""Kwalifikacja: "" + A);","A = prompt(""Podaj kwalifikację: ""); document.write(""Kwalifikacja: "" + A);","A = alert(""Podaj kwalifikację: ""); document.write(""Kwalifikacja: "" + A);",2,images/916.jpg
Funkcja agregująca AVG użyta w zapytaniu ma za zadanie,zsumować koszt wszystkich usług,obliczyć średnią arytmetyczną cen wszystkich usług,wskazać najwyższą cenę za usługi,policzyć ile jest usług dostępnych w tabeli,1,images/917.jpg
Kolorem o barwie niebieskiej jest kolor,#00EE00,#EE0000,#EE00EE,#0000EE,3,
"Zestaw komponentów i podprogramów służący pisaniu aplikacji, który ponadto narzuca szkielet wyglądu aplikacji, jej strukturę, a czasem nawet wzorzec według którego ma powstać aplikacja, to",komponent,middleware,biblioteka,framework,3,
Rozwinięcie słowne akronimu ACID w SQL to,"atomic, constaint, isolated, dependable","atomic, consistent, isolated, durable","atomic, consistent, iss, dependable","atomic, comming, is, do",1,
Które dane z 8 rekordów wpisanych do tabeli zwierzeta zostaną wyświetlone w wyniku podanego zapytania SQL?,"Anna Kowalska, Jan Nowak","Dika, Fuks","Figaro, Dika, Fuks","Fafik, Brutus, Dika, Fuks",1,images/921.jpg
W języku JavaScript instrukcję a++; można inaczej zapisać jako,a&1,1+=a,a<<1,a=a+1,3,
"Z którym ze słów kluczowych programowania obiektowego w języku JavaScript wiąże się dostęp do pól i metod tylko z poziomu klasy, w której są zdefiniowane",static,public,private,"Żadne z powyższych, w JavaScript należy użyć #",3,
"Przedstawiony na rysunku kolor zapisany w modelu RGB, w systemie szesnastkowym będzie zdefiniowany następująco",77A0C1,76A3C1,71A0B2,77A1C1,0,images/924.jpg
Za pomocą której funkcji języka PHP można ustanowić połączenie z bazą danych o nazwie zwierzaki?,"$polacz = server_connect('localhost', 'root','','zwierzaki');","$polacz = mysqli_connect('localhost', 'root','','zwierzaki');","$polacz = sql_connect('localhost', 'root','','zwierzaki');","$polacz = db_connect('localhost', 'root','','zwierzaki');",1,
"Aby zmienić maksymalną długość pola imie w tabeli klienci na 30 znaków, należy użyć w języku SQL następującego kodu",CHANGE TABLE klienci MODIFY imie CHAR(30);,CHANGE TABLE klienci TO COLUMN imie SET CHAR(30);,ALTER TABLE klienci MODIFY COLUMN imie VARCHAR(30);,ALTER TABLE klienci CHANGE imie TEXT;,2,
"Jeśli zmienna $x przechowuje dowolną liczbę naturalną dodatnią, przedstawiony kod źródłowy PHP ma za zadanie wyświetlić",kolejne liczby od x do 0,"liczby wczytywane z klawiatury, tak długo aż zostanie wczytana wartość x","losowe liczby z przedziału (0, x)",kolejne liczby od 0 do x-1,3,images/927.jpg
"W języku JavaScript zdefiniowano obiekt. Aby dalej w kodzie modyfikować wartość właściwości x obiektu, należy zapisać",wsp.x = …,x = …,obiekt1::x = …,obiekt1.x = …,3,images/928.jpg
Odpowiednia kolejność procesów przetwarzania analogowo-cyfrowego dźwięku to:,"kwantyzacja, kodowanie, próbkowanie","kwantyzacja, próbkowanie, kodowanie","próbkowanie, kodowanie, kwantyzacja","próbkowanie, kwantyzacja, kodowanie",3,
"Na obrazie przedstawiono wybór formatu pliku importującego bazę danych. Którego formatu należy użyć, jeżeli dane są wyeksportowane z programu Excel i zapisane tekstowo z zastosowaniem przecinka do rozdzielenia wartości pól?",XML,SQL,ESRI,CSV,3,images/930.jpg
"Baza danych zawiera tabelę ksiazki o polach: tytul, id_autora, data_wypoz, id_czytelnika. Każdego dnia generowany jest raport książek wypożyczonych danego dnia. Wyświetlane są jedynie tytuły książek. Która z kwerend SQL posłuży do stworzenia tego raportu?","SELECT tytul, data_wypoz FROM ksiazki WHERE data_wypoz = CURRDATENT_E();",SELECT * FROM ksiazki;,SELECT tytul FROM ksiazki WHERE data_wypoz = CURRENT_DATE();,SELECT tytul FROM ksiazki;,2,
W języku CSS zdefiniowano formatowanie dla pola edycyjnego. Tak formatowane pole edycyjne będzie miało jasnozielone tło,jeśli jest to pierwsze wystąpienie tego znacznika w dokumencie,po kliknięciu myszą w celu zapisania w nim tekstu,gdy zostanie wskazane kursorem myszy bez kliknięcia,w każdym przypadku,1,images/932.jpg
W języku CSS zapisano wspólne formatowanie dla pewnej grupy znaczników. Formatowanie takich znaczników w kodzie HTML nastąpi przez atrybut,"style = ""format1""","id = ""format1""","div = ""format1""","class = ""format1""",3,images/933.jpg
Formatem o najwyższej rozpiętości tonalnej wśród wymienionych jest,JPEG,PNG,RAW,BMP,2,
Które z zadań programistycznych może być wykonane tylko po stronie klienta przeglądarki?,Bezpieczne wyświetlenie personalizowanej zawartości strony ze względu na prawa użytkownika aplikacji,Zapisanie danych pobranych z formularza w bazie danych powiązanej z aplikacją internetową,Sprawdzanie danych wpisywanych do pola tekstowego w czasie rzeczywistym,Sprawdzenie hasła użytkownika w bazie danych powiązanej z aplikacją internetową,2,
Która instrukcja algorytmu odpowiada graficznej reprezentacji bloku przedstawionego na rysunku?,n > 20,Wypisz n,n ← n + 5,Wykonaj podprogram sortowania tablicy t,0,images/936.jpg
Która z instrukcji języka JavaScript dokona zmiany koloru tekstu na niebieski w akapicie zdefiniowanym w dokumencie HTML?,"document.getElementById(""jeden"").style.color = ""blue"";","document.getElementById(""jeden"").style.background-color = ""blue"";","document.getElementById(""jeden"").color = ""blue"";","document.getElementById(""jeden"").background-color = ""blue"";",0,images/937.jpg
"W języku SQL, po wykonaniu przedstawionych poleceń GRANT, prawo do zmiany struktury tabeli oraz jej usuwania zostanie przypisane",Adamowi i Annie,Tomaszowi i Annie,tylko Annie,Tomaszowi i Adamowi,0,images/938.jpg
Dla których imion zastosowana w zapytaniu klauzula LIKE jest prawdziwa?,"Arleta, Krzysztof, Krystyna, Tristan","Gerald, Jarosław, Marek, Tamara","Rafał, Rebeka, Renata, Roksana","Krzysztof, Krystyna, Romuald",0,images/939.jpg
"Grafik chce przekształcić bez utraty jakości obraz JPG w format PNG w ten sposób, żeby wszędzie tam, gdzie w pierwotnym obrazie jest kolor biały, w obrazie docelowym była przezroczystość. Aby to zrobić, powinien",przekształcić obraz w odcienie szarości,zmniejszyć rozdzielczość obrazu,dodać kanał alfa,zaimportować obraz do edytora grafiki wektorowej,2,
Wskaż zapytanie SQL tworzące użytkownika sekretarka na localhost z hasłem zaq123,CREATE USER 'sekretarka'@'localhost' IDENTIFIED `zaq123`;,CREATE USER `sekretarka`@`localhost` IDENTIFY BY `zaq123`;,"CREATE USER `sekretarka`@`localhost` IDENTIFY ""zaq123"";",CREATE USER `sekretarka`@`localhost` IDENTIFIED BY 'zaq123';,3,
Która z funkcji SQL NIE pobiera argumentów?,upper,now,len,year,1,
W którym z przypadków walidacja fragmentu kodu CSS przebiegnie pomyślnie?,"<p style=""font-size:bold;"">",p { font-weight:bold; },"<p style=""font-style:bold;"">",p { text-size:bold; },1,
"W języku JavaScript zadeklarowana zmienna i, która ma przechowywać wynik dzielenia wynoszący 1, to",var i = parseInt(3/2);,var i = 3/2;,var i = Number(3/2);,var i = parseFloat(3/2);,0,
W języku HTML zapisano definicję tabeli. Który rysunek obrazuje efekt jej działania?,Rysunek 1,Rysunek 2,Rysunek 3,Rysunek 4,0,images/945.jpg
"W programie MS Access we właściwościach pola klasa należy ustawić maskę wprowadzania danych. Którą maskę należy podać, aby wprowadzone dane były złożone z trzech znaków w formacie: obowiązkowa cyfra, po niej obowiązkowe dwie litery?",000,0CC,CLL,0LL,3,images/946.jpg
Który zapis definiuje w języku PHP komentarz wieloliniowy,#,//,<!-- -->,/* */,3,
"W programie do obróbki grafiki rastrowej zmodyfikowano krzywe kolorów tak, jak zaznaczono ramką na przedstawionym obrazie. Ma to na celu",rozjaśnienie całości obrazu,wygładzenie krawędzi na obrazie,modyfikację najjaśniejszych i najciemniejszych kolorów obrazu,przyciemnienie całości obrazu,2,images/948.jpg
Pole insert_id zdefiniowane w bibliotece MySQLi języka PHP może być wykorzystane do,otrzymania id ostatnio wstawionego wiersza,"otrzymania kodu błędu, gdy proces wstawiania wiersza się nie powiódł","pobrania pierwszego wolnego indeksu bazy, tak, aby można było pod nim wstawić nowe dane","pobrania najwyższego indeksu bazy, aby po jego inkrementacji wstawić pod niego dane",0,
"W języku HTML, aby utworzyć pole edycyjne do wpisywania hasła, w którym wpisywany tekst jest maskowany (zastępowany kropkami), należy użyć znacznika","<form=""password"" type=""password"" />","<input type=""password"" />","<input name=""password"" />","<form input type=""password"" />",1,
Które metody odnoszą się do predefiniowanego obiektu Date w języku JavaScript?,concat() oraz pop(),row(),getMonth() oraz getDay(),fromCodePoint(),2,
"Którego typu danych w bazie MySQL należy użyć, aby przechować w jednym polu datę i czas?",BOOLEAN,TIMESTAMP,DATE,YEAR,1,
"Dana jest tabela oceny o polach id, nazwisko, imie, ocena. Przedstawione zapytanie jest przykładem",łączenia,selekcji,sumy,rekurencji,1,images/953.jpg
"W przedstawionym fragmencie formularza HTML zdefiniowano pole input, o którym można powiedzieć, że",wyświetla wprowadzone do niego znaki,ma wpisany domyślny tekst „pole”,umożliwia wpisywanie tylko wartości liczbowych,ukrywa wprowadzone do niego znaki,3,images/954.jpg
Znacznik <pre> </pre> jest stosowany w celu wyświetlenia,treści czcionką o stałej szerokości,znaku wielokropka,znaku przekreślenia,treści polską czcionką,0,
W języku PHP zastosowano funkcję is_float(). Które z podanych wywołań tej funkcji zwróci wartość true,is_float(NULL),is_float(3.34),"is_float('3,34')",is_float(334),1,
"Aby dołączyć kaskadowy arkusz stylów zapisany w zewnętrznym pliku, należy użyć następującego fragmentu kodu HTML","<meta charset=""styl.css"" />","<div id=""styl.css"" relation=""css"" />","<link rel=""stylesheet"" type=""text/css"" href=""styl.css"" />","<optionvalue=""styl.css"" type=""text/css"" />",2,
"Tabela Pacjenci ma pola: imie, nazwisko, wiek, lekarz_id. Aby zestawić raport zawierający wyłącznie imiona i nazwiska pacjentów poniżej 18 roku życia, którzy zapisani są do lekarza o id równym 6, można posłużyć się kwerendą SQL","SELECT imie, nazwisko FROM Pacjenci WHERE wiek<18 AND lekarz_id=6;","SELECT imie, nazwisko WHERE wiek<18 AND lekarz_id=6;","SELECT imie, nazwisko WHERE wiek<18 OR lekarz_id=6;","SELECT imie, nazwisko FROM Pacjenci WHERE wiek<18 OR lekarz_id=6;",0,
W języku SQL ustawienie klucza podstawowego na polu id w tabeli uczniowie możliwe jest za pomocą polecenia,INSERT TABLE uczniowie PRIMARY KEY (id);,INSERT TABLE uczniowie ADD PRIMARY KEY (id);,ALTER TABLE uczniowie ADD PRIMARY KEY (id);,ADD TABLE uczniowie PRIMARY KEY (id);,2,
Które z tych rozszerzeń nie jest rozszerzeniem pliku video?,GIF,MOV,AVI,MP4,0,
"W języku PHP, aby prawidłowo obsłużyć połączenie z bazą danych MySQL, ostatnią operacją, powinno być zastosowanie polecenia",exit,mysqli_close,mysql_exit,die,1,
"Który z paragrafów został sformatowany przedstawionym stylem zakładając, że pozostałe własności paragrafu przyjmują wartości domyślne?",A,B,C,D,2,images/962.jpg
"Dana jest tabela pracownicy, do której wpisano rekordy przedstawione obok. Po uruchomieniu podanej w ramce kwerendy SQL zostanie wyświetlona wartość",5400,1300,2200,2600,3,images/963.jpg
W bazie danych MySQL polecenie CREATE USER umożliwia,utworzenie użytkownika i nadanie mu praw do bazy,wyświetlenie informacji o istniejącym użytkowniku,utworzenie użytkownika,zmodyfikowanie hasła istniejącego użytkownika,2,
Poziom izolacji transakcji Repeatable Read (tryb powtarzalnego odczytu) stosowany przez MS SQL wiąże się z problemem,utraty aktualizacji,niepowtarzalnych odczytów,brudnych odczytów,odczytów widm,3,
"Relacja opisana w sposób: ""Rekordowi z tabeli A odpowiada dowolna liczba rekordów z tabeli B. Jednemu rekordowi z tabeli B odpowiada dokładnie jeden rekord z tabeli A"" jest relacją",nieoznaczoną,jeden do jednego,jeden do wielu,wiele do wielu,2,
"Dla przedstawionego fragmentu dokumentu HTML zdefiniowano formatowanie CSS selektora klasy ""menu"" tak, aby kolor tła bloku był zielony. Która definicja stylu CSS odpowiada temu formatowaniu?","#menu { background-color: rgb(0,255,0); }",div:menu { color: green; },div.menu { background-color: green; },"menu { background-color: rgb(0,255,0); }",2,images/967.jpg
"Jak nazywa się metoda sortowania polegająca na podziale na n przedziałów jednakowej długości, w których następuje sortowanie, po czym posortowane zawartości przedziałów są poddawane analizie i prezentacji?",Sortowanie szybkie,Sortowanie bąbelkowe,Sortowanie kubełkowe,Sortowanie przez wybór,2,
"Stronę internetową zapisano w języku XHTML. Który z kodów stanowi implementację przedstawionego fragmentu strony, jeżeli żadne style CSS nie zostały zdefiniowane?",A,B,C,D,1,images/969.jpg
W przedstawionej klasie zdefiniowano,jedną właściwość,dwie metody,dwie właściwości,dwa obiekty,2,images/970.jpg
"Aby zamieścić na stronie internetowej film, należy użyć znacznika",<video>,<media>,<movie>,<audio>,0,
"Wskaż poprawną definicję stylu CSS dla przycisku typu submit o właściwościach: czarny kolor tła, brak obramowania, marginesy wewnętrzne 5px.",A,B,C,D,0,images/972.jpg
"Przedstawiony fragment kodu napisano w języku JavaScript. Aby program przypisywał wartość równą 1 co trzeciemu elementowi w tablicy, to w miejscu kropek należy wpisać",i = 3,i += 3,i ++ 3,i =+ 3,1,images/973.jpg
"W zapytaniu SQL umieszczonym poniżej, znak gwiazdki oznacza, że w wyniku tego zapytania",zostaną wyświetlone wszystkie rekordy tabeli mieszkancy,zostanie zignorowany warunek sprawdzający imię,zostaną wyświetlone wszystkie kolumny tabeli mieszkancy,"zostanie wyświetlone pole o nazwie ""*"" (gwiazdka)",2,images/974.jpg
"Znacznik języka HTML, który służy do dynamicznego tworzenia grafiki na stronie internetowej bez osadzania dodatkowych plików, to",<embed>,<img>,<canvas>,<object>,2,
Po wykonaniu kodu PHP zostanie wyświetlona aktualna data zawierająca jedynie,dzień i miesiąc,miesiąc i rok,rok,dzień,2,images/976.jpg
"Proces organizowania danych w bazie obejmujący tworzenie tabel, ustanawianie relacji między nimi i polegający na wyeliminowaniu z bazy nadmiarowych danych oraz niespójnych zależności nazywa się",weryfikacją spójności danych,normalizacją,weryfikacją integralności referencyjnej,redundancją,1,
"W jaki sposób, stosując język PHP, zapisać w ciasteczku napis znajdujący się w zmiennej dane na czas jednego dnia?","setcookie(""dane"", $dane, time() + (3600*24));","setcookie(""dane"", $dane, 0);","setcookie(""dane"", ""dane"", 0);","setcookie(""dane"", $dane, time());",0,
Które stwierdzenie najlepiej opisuje klasę Owoc zdefiniowaną w języku PHP i przedstawioną na listingu?,"Ma jedno pole i dwie metody, z czego jedna metoda ma zakres prywatny.","Ma dwa pola i jedną metodę, pole nazwa ma zakres widzialności ograniczony tylko do metod klasy.","Ma dwa pola i jeden konstruktor, oba pola mają zakres widzialności ograniczony tylko do metod klasy.","Ma dwa pola i jedną metodę, pole kolor ma zakres widzialności ograniczony tylko do metod klasy.",3,images/979.jpg
"Aby stworzyć różnicową kopię bazy danych na serwerze MSSQL, należy zastosować klauzulę",FULL,RESTORE,WITH FORMAT,DIFFERENTIAL,3,
W języku PHP wykonano operację przedstawioną w ramce. Aby wyświetlić wszystkie wyniki tego zapytania należy,wyświetlić zmienną $db,"zaindeksować zmienną tab, tab[0] to pierwsze imię",zastosować pętlę z poleceniem mysqli_fetch_row,zastosować polecenie mysql_fetch,2,images/981.jpg
"Kwerendę SELECT DISTINCT należy zastosować w przypadku, gdy potrzeba wybrać rekordy",posortowane malejąco lub rosnąco,pogrupowane,występujące w bazie tylko raz,"tak, aby w podanej kolumnie nie powtarzały się wartości",3,
"Grafik wykonał logo strony internetowej. To czarny znaczek na przezroczystym tle. Aby zachować wszystkie atrybuty obrazu i umieścić go na stronie internetowej, grafik powinien zapisać obraz w formacie",PNG,CDR,JPG,BMP,0,
"W języku PHP funkcja, która może służyć do sprawdzenia, czy dany ciąg jest fragmentem innego ciągu, to",trim();,strtok();,strlen();,strstr();,3,
Wykonanie przedstawionego polecenia PHP umożliwi,odczyt danych z bazy,modyfikację struktury bazy,modyfikację danych w bazie,zapis nowych danych do bazy,2,images/985.jpg
Funkcja mysqli_num_rows() języka PHP może być wywołana po uprzednim zastosowaniu kwerendy,INSERT,UPDATE,DELETE,SELECT,3,
"Które wyrażenie logiczne należy zastosować w języku JavaScript, aby wykonać operacje tylko dla dowolnych liczb ujemnych z przedziału jednostronnie domkniętego <-200,-100)?",(liczba <=-200) || (liczba>-100),(liczba <=-200) && (liczba<-100),(liczba >=-200) || (liczba>-100),(liczba >=-200) && (liczba<-100),3,
Wskaż instrukcję równoważną do instrukcji switch zapisanej językiem PHP,A,B,C,D,1,images/988.jpg
Podane polecenie SQL nadaje prawo SELECT,dla użytkownika root na serwerze sprzedawca,do wszystkich tabel w bazie hurtownia,dla użytkownika root na serwerze localhost,do wszystkich pól w tabeli hurtownia,1,images/989.jpg
"Integralność encji w bazie danych zostanie zachowana, jeżeli między innymi",każdej kolumnie zostanie przypisany typ danych,klucz główny będzie zawsze liczbą całkowitą,każdy klucz główny będzie miał odpowiadający mu klucz obcy w innej tabeli,dla każdej tabeli zostanie utworzony klucz główny,3,
"W języku JavaScript stworzono funkcję o nazwie licz_pitagoras, która oblicza długość przeciwprostokątnej trójkąta prostokątnego, zgodnie z twierdzeniem Pitagorasa. Funkcja pobiera dwa parametry wejściowe i zwraca wartość. Prawidłowe wywołanie takiej funkcji, wraz z pobraniem zwróconego wyniku, będzie miało postać","c = licz_pitagoras(a, b);","licz_pitagoras(a, b) = c;","licz_pitagoras(a, b);","licz_pitagoras(a, b, c);",0,
Który z typów wspieranych przez język PHP służy do obsługi zmiennych logicznych?,Boolean,String,Float,Integer,0,
"W edytorze grafiki rastrowej, aby pracować tylko na części obrazu, nie naruszając innych jego elementów, można wykorzystać",warstwy,skalowanie,kadrowanie,inwersję,0,
Wielkość grafiki JPEG umieszczonej na stronie internetowej może mieć wpływ na,błędy składniowe języka HTML,długość czasu ładowania strony,kompatybilność z systemem Windows,szybszą weryfikację odnośników,1,
Algorytm przedstawiony na rysunku można zapisać w języku JavaScript za pomocą instrukcji,for(i = 0; i > 10; i++),var i = 0; do i++; while(i > 10);,var i = 0; while(i <= 10) i += 2;,var i = 0; do i = i + 2; while(i < 10);,2,images/995.jpg
"W kodzie HTML zdefiniowano formularz, który wysyła dane do pliku formularz.php. Po wciśnięciu przycisku typu submit przeglądarka przechodzi do przedstawionego adresu. Na podstawie podanego adresu można powiedzieć, że dane do pliku formularz.php zostały przesłane metodą",COOKIE,POST,GET,SESSION,2,images/996.jpg
"Wskaż funkcję PHP, za pomocą której odczytana zawartość pliku jest zapisywana do zmiennej reprezentującej ciąg znaków",get_file();,file_get_contents();,eof();,fwrite();,1,
W której części dokumentu HTML należy umieścić wewnętrzny arkusz stylów?,"Wewnątrz znacznika, którego styl dotyczy",W ciele strony,W części nagłówkowej strony,W skrypcie dołączonym do strony,2,
"W języku CSS zdefiniowano formatowanie paragrafu, które przypisze mu następujące cechy:","tło czerwone, kolor tekstu niebieski, marginesy wewnętrzne ustawione na wartość 40px","tło niebieskie, kolor tekstu czerwony, marginesy zewnętrzne ustawione na wartość 40px","tło czerwone, kolor tekstu niebieski, marginesy zewnętrzne ustawione na wartość 40px","tło niebieskie, kolor tekstu czerwony, marginesy wewnętrzne ustawione na wartość 40px",2,images/999.jpg
W znaczniku meta w miejsce kropek należy wpisać,informację o dostosowaniu do urządzeń mobilnych,streszczenie treści strony,nazwę edytora,język dokumentu,1,images/1000.jpg
"W języku PHP zmiennej a przypisano tekst, w którym kilkukrotnie występuje słowo Kowalski. Aby jednym pleceniem zmienić w zmiennej a wszystkie wystąpienia słowa Kowalski na słowo Nowak, należy zastosować polecenie","$a = str_replace('Nowak', 'Kowalski');","$a = str_replace('Kowalski', 'Nowak', $a);","$a = str_replace('Nowak', 'Kowalski', $a);","$a = str_rep('Kowalski', 'Nowak', $a);",1,
"W bazie danych samochodów pole kolor z tabeli samochody przyjmuje wartości kolorów jedynie ze słownika lakier. Aby połączyć tabele samochody i lakier relacją należy, zastosować kwerendę",ALTER TABLE samochody ADD FOREIGN KEY (kolor) REFERENCES lakier(lakierId);,ALTER TABLE samochody ADD FOREIGN KEY kolor REFERENCES lakier;,ALTER TABLE samochody ADD FOREIGN KEY barwa REFERENCES samochody.lakier;,ALTER TABLE lakier ADD FOREIGN KEY (barwa) REFERENCES samochody(kolor);,0,
W języku C++ zdefiniowano zmienną: char zm1;. W jaki sposób można do niej przypisać wartość zgodnie ze składnią języka?,zm1 == 0x35;,zm1[2] = 32;,"zm1 = ""wiadro"";",zm1 = 'w';,3,
"Znaczniki HTML <strong> oraz <em> służące do podkreślenia ważności tekstu, pod względem formatowania są odpowiednikami znaczników",<b> oraz <u>,<u> oraz <sup>,<i> oraz <mark>,<b> oraz <i>,3,
"Obraz przedstawia formatowanie CSS paragrafu. Aby otrzymać czerwony kolor poza obramowaniem, tak jak przedstawiono na obrazie, należy zdefiniować własność:",border,outline,padding,background,1,images/1005.jpg
Klauzuli DROP COLUMN można użyć podczas wydawania kwerendy,ALTER TABLE,DROP TABLE,CREATE TABLE,ALTER COLUMN,0,
Który zapis tworzący tablicę w JavaScript jest niepoprawny składniowo?,"var liczby = new Array(1, 2, 3);",var liczby = [3];,"var liczby = [1, 2, 3];","var liczby = new Array[1, 2, 3];",3,
"W języku HTML zapisano formularz. Który z efektów działania kodu będzie wyświetlony przez przeglądarkę zakładając, że w pierwsze pole użytkownik przeglądarki wpisał wartość ""Przykładowy text""?",Efekt 1,Efekt 2,Efekt 3,Efekt 4,1,images/1008.jpg
